,X,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId
2,366,6.77E+14,Moldavian language interpreter needed,9Nm1,9Nm1.00,3.60E+14,6.77E+14
3,367,6.78E+14,Iban language interpreter needed,9Nm8,9Nm8.00,3.60E+14,6.78E+14
4,368,6.78E+14,Kinyarwanda language interpreter needed,9NmE,9NmE.00,3.60E+14,6.78E+14
5,369,6.81E+14,Guarani language interpreter needed,9NmR,9NmR.00,3.61E+14,6.81E+14
6,370,6.82E+14,Catalan language interpreter needed,9Nmd,9Nmd.00,3.62E+14,6.82E+14
7,371,6.87E+14,Nepali language interpreter needed,9NnK,9NnK.00,3.64E+14,6.87E+14
8,373,6.65E+14,Bulgarian language interpreter needed,9NUz,9NUz.00,3.54E+14,6.65E+14
9,374,6.78E+14,Maltese language interpreter needed,9Nm3,9Nm3.00,3.60E+14,6.78E+14
10,375,6.78E+14,Luganda language interpreter needed,9Nm4,9Nm4.00,3.60E+14,6.78E+14
11,376,6.78E+14,Brawa language interpreter needed,9Nm6,9Nm6.00,3.60E+14,6.78E+14
12,377,6.79E+14,Inuktitut language interpreter needed,9NmL,9NmL.00,3.60E+14,6.79E+14
13,378,6.81E+14,Frisian language interpreter needed,9NmT,9NmT.00,3.62E+14,6.81E+14
14,379,6.82E+14,Estonian language interpreter needed,9NmZ,9NmZ.00,3.62E+14,6.82E+14
15,381,6.77E+14,Mongolian language interpreter needed,9Nm0,9Nm0.00,3.60E+14,6.77E+14
16,382,6.78E+14,Macedonian language interpreter needed,9NmA,9NmA.00,3.60E+14,6.78E+14
17,383,6.79E+14,Inupiaq language interpreter needed,9NmJ,9NmJ.00,3.60E+14,6.79E+14
18,384,6.79E+14,Javanese language interpreter needed,9NmK,9NmK.00,3.60E+14,6.79E+14
19,385,6.79E+14,Icelandic language interpreter needed,9NmP,9NmP.00,3.60E+14,6.79E+14
20,386,6.82E+14,Faeroese language interpreter needed,9NmV,9NmV.00,3.62E+14,6.82E+14
21,388,6.78E+14,Maori language interpreter needed,9Nm9,9Nm9.00,3.60E+14,6.78E+14
22,389,6.78E+14,Malagasy language interpreter needed,9NmB,9NmB.00,3.60E+14,6.78E+14
